date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-10-02,77.6541,78.9233,77.3767,78.419,13756563,13756563,0.369823,0.474,78.1216,"Oct 2, 14",0.03851507137399066
2014-10-03,78.6711,79.0998,77.8138,78.9401,11572112,11572112,0.52111,0.665,78.6262,"Oct 3, 14",0.04541608010520365
2014-10-06,79.0157,80.1252,78.9317,79.4444,10599719,10599719,0.504302,0.639,79.4992,"Oct 6, 14",0.05209460381111553
2014-10-07,79.2343,80.0075,78.4442,78.4778,10787852,10787852,-0.966578,-1.217,79.1224,"Oct 7, 14",0.03929376896254441
2014-10-08,78.5198,79.7049,77.6793,79.52,15592479,15592479,1.0422,1.328,78.7918,"Oct 8, 14",0.05309578642497018
2014-10-09,79.0493,79.4192,77.0153,77.175,17917680,17917680,-2.345,-2.949,77.651,"Oct 9, 14",0.02204058497669863
2014-10-10,77.6961,78.3937,76.4018,76.9901,18173104,18173104,-0.184912,-0.24,77.269,"Oct 10, 14",0.019591925382760302
2014-10-13,76.7548,77.7718,76.2841,76.3513,14451647,14451647,-0.638782,-0.83,77.0638,"Oct 13, 14",0.011132197158813186
2014-10-14,76.8977,77.5196,75.6958,76.1076,23121774,23121774,-0.243744,-0.319,76.5897,"Oct 14, 14",0.007904839976321304
2014-10-15,74.8048,76.158,73.0482,75.8302,24704546,24704546,-0.277367,-0.364,75.0073,"Oct 15, 14",0.004231188427600393
2014-10-16,74.4518,76.7127,74.1156,76.1496,25215899,25215899,0.319391,0.421,75.8573,"Oct 16, 14",0.00846105253957395
2014-10-17,76.5951,77.5364,76.0656,76.6623,18194303,18194303,0.512708,0.673,76.7161,"Oct 17, 14",0.01525081875813629
2014-10-20,76.1748,77.2339,76.1748,77.133,10826502,10826502,0.470682,0.614,76.8664,"Oct 20, 14",0.021484372413445984
2014-10-21,78.0491,79.0325,77.6289,78.7131,15757046,15757046,1.5801,2.049,78.3779,"Oct 21, 14",0.04240988363238584
2014-10-22,78.9737,79.499,78.15,78.2761,12742932,12742932,-0.437064,-0.555,78.6688,"Oct 22, 14",0.03662262434330498
2014-10-23,79.2679,79.831,78.898,79.0998,11352718,11352718,0.823694,1.052,79.3576,"Oct 23, 14",0.04753101216119043
2014-10-24,79.167,79.4528,78.3517,79.4192,9740056,9740056,0.319391,0.404,79.094,"Oct 24, 14",0.05176087627316398
2014-10-27,78.8812,78.8812,77.9735,78.7636,11394514,11394514,-0.65559,-0.825,78.5281,"Oct 27, 14",0.043078663023915775
2014-10-28,79.3771,80.0117,78.9485,79.9319,12570452,12570452,1.1683,1.483,79.6156,"Oct 28, 14",0.058550642491726326
2014-10-29,80.2008,80.6715,78.6879,79.5032,12410105,12410105,-0.428657,-0.536,79.6702,"Oct 29, 14",0.052873301399669274
2014-10-30,78.898,79.5705,78.3517,79.3855,9767918,9767918,-0.117672,-0.148,79.0608,"Oct 30, 14",0.051314581906934956
2014-10-31,79.8394,81.4364,79.2679,81.2851,17493736,17493736,1.8995,2.393,80.6963,"Oct 31, 14",0.0764712815534752
2014-11-03,81.159,81.6129,79.6797,80.0664,13410561,13410561,-1.2187,-1.499,80.5387,"Nov 3, 14",0.060331847009761554
2014-11-04,79.4276,79.7554,78.9149,79.4444,13498531,13498531,-0.621974,-0.777,79.2726,"Nov 4, 14",0.05209460381111553
2014-11-05,80.1504,80.495,79.5536,79.9067,12480033,12480033,0.462275,0.582,79.9472,"Nov 5, 14",0.058216914953774776
2014-11-06,79.9991,81.0413,79.2427,80.9069,14731392,14731392,1.0002,1.252,80.6067,"Nov 6, 14",0.0714627198529479
2014-11-07,81.1016,82.2529,81.0338,81.7704,13233484,13233484,0.863498,1.067,81.8286,"Nov 7, 14",0.08289818529029654
2014-11-10,82.0074,82.2021,81.3301,81.5079,9087594,9087594,-0.262439,-0.321,81.6807,"Nov 10, 14",0.07942185676996778
2014-11-11,81.0846,81.7026,80.9407,81.618,7990045,7990045,0.110056,0.135,81.436,"Nov 11, 14",0.08087992827506559
2014-11-12,81.1862,81.6095,80.5174,80.746,11592788,11592788,-0.871969,-1.068,80.9812,"Nov 12, 14",0.06933189600943966
2014-11-13,80.3904,80.6021,79.4338,80.1365,12355397,12355397,-0.609533,-0.755,80.0256,"Nov 13, 14",0.06126019226414267
2014-11-14,80.3142,80.5174,80.128,80.5005,9352535,9352535,0.364028,0.454,80.3327,"Nov 14, 14",0.06608070114566549
2014-11-17,80.2973,80.5428,79.7386,80.5174,8704386,8704386,0.01693,0.021,80.275,"Nov 17, 14",0.06630451048659322
2014-11-18,80.492,81.0592,80.0264,80.3142,9272445,9272445,-0.203179,-0.252,80.4492,"Nov 18, 14",0.06361350113295201
2014-11-19,80.492,81.0508,79.6878,80.9407,8333169,8333169,0.626465,0.78,80.5855,"Nov 19, 14",0.07191033853480376
2014-11-20,80.7375,81.1862,80.6444,81.1185,8422369,8422369,0.177782,0.22,80.9379,"Nov 20, 14",0.07426497171923975
2014-11-21,82.2868,82.2868,81.3555,81.9566,12374854,12374854,0.838104,1.033,81.845,"Nov 21, 14",0.08536406098738318
2014-11-24,81.5587,81.9481,80.6359,81.0338,10172405,10172405,-0.922764,-1.126,81.044,"Nov 24, 14",0.07314327638334699
2014-11-25,81.2793,81.2963,79.891,80.2381,13747362,13747362,-0.795776,-0.982,80.3799,"Nov 25, 14",0.06260569694096338
2014-11-26,80.1195,80.5344,79.8825,79.9841,9822941,9822941,-0.253973,-0.317,80.1373,"Nov 26, 14",0.05924193524891172
2014-11-28,77.4613,77.7576,76.2846,76.6486,19556690,19556690,-3.3355,-4.17,77.018,"Nov 28, 14",0.015069387517265791
